"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 29 11:26:39 MSK 2020","Wed Jul 29 11:27:31 MSK 2020","51934","","Переводы SWIFT - интеграционные тесты","","Переводы SWIFT - интеграционные тесты","Проверить в ленте операций отображение операции перевода SWIFT (со счета)","Проверить в ленте операций отображение операции перевода SWIFT (со счета)",""
"passed","Wed Jul 29 11:01:56 MSK 2020","Wed Jul 29 11:02:19 MSK 2020","22851","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Не должна отображаться ошибка при вводе номера карты","Не должна отображаться ошибка при вводе номера карты",""
"passed","Wed Jul 29 11:19:40 MSK 2020","Wed Jul 29 11:20:23 MSK 2020","42875","","Переводы в другой банк организациям - интеграционные тесты","","Переводы в другой банк организациям - интеграционные тесты","Проверить в ленте операций отображение операции перевода В другой банк - Организациям","Проверить в ленте операций отображение операции перевода В другой банк - Организациям",""
"passed","Wed Jul 29 11:02:19 MSK 2020","Wed Jul 29 11:03:22 MSK 2020","63230","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру карты (со счета)","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру карты (со счета)",""
"passed","Wed Jul 29 11:09:12 MSK 2020","Wed Jul 29 11:10:22 MSK 2020","70062","","Переводы по номеру счета клиенту банка - интеграционные тесты","","Переводы по номеру счета клиенту банка - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)",""
"failed","Wed Jul 29 11:11:24 MSK 2020","Wed Jul 29 11:12:49 MSK 2020","85058","","Переводы между своими счетами - интеграционные тесты","","Переводы между своими счетами - интеграционные тесты","Выгрузка квитанции в pdf со страницы успешного перевода Между своими счетами (со счета на карту) с конверсией","Выгрузка квитанции в pdf со страницы успешного перевода Между своими счетами (со счета на карту) с конверсией",""
"passed","Wed Jul 29 11:25:38 MSK 2020","Wed Jul 29 11:26:39 MSK 2020","61118","","Переводы SWIFT - интеграционные тесты","","Переводы SWIFT - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода SWIFT (со счета)","Выгрузка квитанции на email со страницы успешного перевода SWIFT (со счета)",""
"passed","Wed Jul 29 11:18:03 MSK 2020","Wed Jul 29 11:18:43 MSK 2020","40481","","Переводы в другой банк организациям - интеграционные тесты","","Переводы в другой банк организациям - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода В другой банк - Организациям","Выгрузка квитанции со страницы успешного перевода В другой банк - Организациям",""
"passed","Wed Jul 29 10:56:33 MSK 2020","Wed Jul 29 10:56:57 MSK 2020","24056","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Должна отображаться ошибка при вводе номера карты","Должна отображаться ошибка при вводе номера карты",""
"failed","Wed Jul 29 11:14:17 MSK 2020","Wed Jul 29 11:15:42 MSK 2020","84855","","Переводы между своими счетами - интеграционные тесты","","Переводы между своими счетами - интеграционные тесты","Проверить в ленте операций отображение операции перевода Между своими счетами (со счета на карту) с конверсией","Проверить в ленте операций отображение операции перевода Между своими счетами (со счета на карту) с конверсией",""
"passed","Wed Jul 29 11:22:17 MSK 2020","Wed Jul 29 11:23:28 MSK 2020","70829","","Переводы в другой банк в бюджет - интеграционные тесты","","Переводы в другой банк в бюджет - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода В другой банк - Бюджетным организациям","Выгрузка квитанции на email со страницы успешного перевода В другой банк - Бюджетным организациям",""
"passed","Wed Jul 29 11:01:05 MSK 2020","Wed Jul 29 11:01:25 MSK 2020","20324","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Должна отображаться ошибка при вводе номера карты","Должна отображаться ошибка при вводе номера карты",""
"passed","Wed Jul 29 11:08:24 MSK 2020","Wed Jul 29 11:09:12 MSK 2020","48831","","Переводы по номеру счета клиенту банка - интеграционные тесты","","Переводы по номеру счета клиенту банка - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)",""
"passed","Wed Jul 29 11:00:17 MSK 2020","Wed Jul 29 11:01:05 MSK 2020","47728","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Должна отобаржаться ошибка при превышении лимита и успешно проходить платеж без превышения","Должна отобаржаться ошибка при превышении лимита и успешно проходить платеж без превышения",""
