"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 06 18:22:01 MSK 2020","Thu Aug 06 18:22:31 MSK 2020","30814","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов на основе набора параметров 3","Пользователю отображается список вкладов на основе набора параметров 3",""
"passed","Thu Aug 06 17:51:34 MSK 2020","Thu Aug 06 17:52:53 MSK 2020","78875","","Переводы между своими счетами - интеграционные тесты","","Переводы между своими счетами - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода Между своими счетами (со счета на карту) с конверсией","Выгрузка квитанции на email со страницы успешного перевода Между своими счетами (со счета на карту) с конверсией",""
"passed","Thu Aug 06 18:29:45 MSK 2020","Thu Aug 06 18:30:15 MSK 2020","29933","","LimitsForm integration tests","","LimitsForm integration tests","should render errors with highest limits and button should be disabled","should render errors with highest limits and button should be disabled",""
"skipped","Thu Aug 06 18:30:15 MSK 2020","Thu Aug 06 18:30:15 MSK 2020","0","","LimitsForm integration tests","","LimitsForm integration tests","should render no errors and button should be enabled","should render no errors and button should be enabled",""
"failed","Thu Aug 06 18:01:11 MSK 2020","Thu Aug 06 18:02:14 MSK 2020","62325","","Переводы в другой банк в бюджет - интеграционные тесты","","Переводы в другой банк в бюджет - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода В другой банк - Бюджетным организациям","Выгрузка квитанции со страницы успешного перевода В другой банк - Бюджетным организациям",""
"failed","Thu Aug 06 17:50:41 MSK 2020","Thu Aug 06 17:51:34 MSK 2020","53361","","Переводы между своими счетами - интеграционные тесты","","Переводы между своими счетами - интеграционные тесты","Выгрузка квитанции в pdf со страницы успешного перевода Между своими счетами (со счета на карту) с конверсией","Выгрузка квитанции в pdf со страницы успешного перевода Между своими счетами (со счета на карту) с конверсией",""
"passed","Thu Aug 06 17:40:22 MSK 2020","Thu Aug 06 17:40:42 MSK 2020","20541","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Не должна отображаться ошибка при вводе номера карты","Не должна отображаться ошибка при вводе номера карты",""
"passed","Thu Aug 06 17:49:56 MSK 2020","Thu Aug 06 17:50:41 MSK 2020","44640","","Переводы по номеру счета клиенту банка - интеграционные тесты","","Переводы по номеру счета клиенту банка - интеграционные тесты","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)",""
"passed","Thu Aug 06 17:37:33 MSK 2020","Thu Aug 06 17:38:50 MSK 2020","76661","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Успешный перевод с неверифицированным номером телефона","Успешный перевод с неверифицированным номером телефона",""
"passed","Thu Aug 06 17:47:16 MSK 2020","Thu Aug 06 17:48:00 MSK 2020","43251","","Переводы по номеру телефона клиенту банка - интеграционные тесты","","Переводы по номеру телефона клиенту банка - интеграционные тесты","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру телефона (с карты)","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру телефона (с карты)",""
"failed","Thu Aug 06 17:45:21 MSK 2020","Thu Aug 06 17:47:16 MSK 2020","115298","","Переводы по номеру телефона клиенту банка - интеграционные тесты","","Переводы по номеру телефона клиенту банка - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру телефона (с карты)","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру телефона (с карты)",""
"passed","Thu Aug 06 18:30:15 MSK 2020","Thu Aug 06 18:30:36 MSK 2020","21003","","LanguageForm integration tests","","LanguageForm integration tests","Смена языка приложения должна пройти успешно","Смена языка приложения должна пройти успешно",""
"skipped","Thu Aug 06 18:30:59 MSK 2020","Thu Aug 06 18:30:59 MSK 2020","0","","ChangeEmailForm integration test","","ChangeEmailForm integration test","Установка email","Установка email",""
"passed","Thu Aug 06 17:36:10 MSK 2020","Thu Aug 06 17:36:30 MSK 2020","19563","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Не должна отображаться ошибка при вводе номера карты","Не должна отображаться ошибка при вводе номера карты",""
"passed","Thu Aug 06 18:00:14 MSK 2020","Thu Aug 06 18:01:11 MSK 2020","56941","","Переводы в другой банк в бюджет - интеграционные тесты","","Переводы в другой банк в бюджет - интеграционные тесты","Перевод В другой банк - Бюджетным организациям должен выполнится успешно","Перевод В другой банк - Бюджетным организациям должен выполнится успешно",""
"passed","Thu Aug 06 17:48:48 MSK 2020","Thu Aug 06 17:49:56 MSK 2020","68353","","Переводы по номеру счета клиенту банка - интеграционные тесты","","Переводы по номеру счета клиенту банка - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)",""
