"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 17 20:48:15 MSK 2020","Tue Nov 17 20:48:24 MSK 2020","9206","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по продукту - не верный формат телефона","Ошибка при входе по продукту - не верный формат телефона",""
"passed","Tue Nov 17 20:00:03 MSK 2020","Tue Nov 17 20:02:02 MSK 2020","118804","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру карты (со счета)","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру карты (со счета)",""
"passed","Tue Nov 17 20:49:04 MSK 2020","Tue Nov 17 20:49:48 MSK 2020","43619","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","Открытие накопительного счета в долларах с 0 долларов","Открытие накопительного счета в долларах с 0 долларов",""
"passed","Tue Nov 17 20:02:02 MSK 2020","Tue Nov 17 20:03:55 MSK 2020","112844","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру карты (со счета)","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру карты (со счета)",""
"passed","Tue Nov 17 20:44:17 MSK 2020","Tue Nov 17 20:44:42 MSK 2020","24619","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов на основе набора параметров 1","Пользователю отображается список вкладов на основе набора параметров 1",""
"skipped","Tue Nov 17 21:15:28 MSK 2020","Tue Nov 17 21:15:28 MSK 2020","1","","Проверка карточек продуктов-призраков по Вкладам","","Проверка карточек продуктов-призраков по Вкладам","Отказ от предложения с выбором причины ""Мне не интересно""","Отказ от предложения с выбором причины ""Мне не интересно""",""
"passed","Tue Nov 17 21:28:05 MSK 2020","Tue Nov 17 21:28:19 MSK 2020","14117","","Интеграционные тесты нотификации смены паспортных данных Интеграционные тесты при наличии оффера","","Интеграционные тесты нотификации смены паспортных данных Интеграционные тесты при наличии оффера","Должен отображаться маркер нотификации возле кнопки сообщений","Должен отображаться маркер нотификации возле кнопки сообщений",""
"passed","Tue Nov 17 21:28:38 MSK 2020","Tue Nov 17 21:28:58 MSK 2020","19383","","Интеграционные тесты нотификации смены паспортных данных Интеграционные тесты при наличии оффера","","Интеграционные тесты нотификации смены паспортных данных Интеграционные тесты при наличии оффера","Должен отображаться текст нотификации устаревшего паспорта в разделе профиля Персональные сведения","Должен отображаться текст нотификации устаревшего паспорта в разделе профиля Персональные сведения",""
"passed","Tue Nov 17 20:47:53 MSK 2020","Tue Nov 17 20:48:00 MSK 2020","7395","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по продукту - неверный продукт, но верный телефон","Ошибка при входе по продукту - неверный продукт, но верный телефон",""
"skipped","Tue Nov 17 21:22:28 MSK 2020","Tue Nov 17 21:22:28 MSK 2020","0","","ChangeEmailForm integration test","","ChangeEmailForm integration test","Установка email","Установка email",""
"skipped","Tue Nov 17 21:15:26 MSK 2020","Tue Nov 17 21:15:26 MSK 2020","0","","Витрина карт","","Витрина карт","Оформление карты с витрины карт","Оформление карты с витрины карт",""
"failed","Tue Nov 17 21:27:12 MSK 2020","Tue Nov 17 21:27:44 MSK 2020","31412","","Бонусная система рыбки - баланс - интеграционные тесты","","Бонусная система рыбки - баланс - интеграционные тесты","Баланс должен быть числом","Баланс должен быть числом",""
"passed","Tue Nov 17 21:21:44 MSK 2020","Tue Nov 17 21:22:27 MSK 2020","42702","","История операций - интеграционные тесты","","История операций - интеграционные тесты","Успешное открытие квитанции платежа","Успешное открытие квитанции платежа",""
"passed","Tue Nov 17 21:14:35 MSK 2020","Tue Nov 17 21:14:51 MSK 2020","16479","","Витрина карт","","Витрина карт","Проверка недоступности страницы карты при переходе по прямой ссылке на недоступную карту","Проверка недоступности страницы карты при переходе по прямой ссылке на недоступную карту",""
"skipped","Tue Nov 17 21:23:52 MSK 2020","Tue Nov 17 21:23:52 MSK 2020","0","","ChangePhoneForm integration test","","ChangePhoneForm integration test","Смена номера телефона через email и повторная смена через телефон","Смена номера телефона через email и повторная смена через телефон",""
"passed","Tue Nov 17 20:42:46 MSK 2020","Tue Nov 17 20:43:09 MSK 2020","22906","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов с возможностью пополнения","Пользователю отображается список вкладов с возможностью пополнения",""
"failed","Tue Nov 17 20:21:29 MSK 2020","Tue Nov 17 20:25:51 MSK 2020","262046","","Переводы в другой банк физическим лицам - интеграционные тесты","","Переводы в другой банк физическим лицам - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода В другой банк - Людям","Выгрузка квитанции со страницы успешного перевода В другой банк - Людям",""
"passed","Tue Nov 17 20:59:36 MSK 2020","Tue Nov 17 21:01:06 MSK 2020","89895","","PaymentForm - Rapida - integration tests","","PaymentForm - Rapida - integration tests","Выгрузка квитанции со страницы успешной оплаты Мобильной связи Yota (со счета)","Выгрузка квитанции со страницы успешной оплаты Мобильной связи Yota (со счета)",""
"passed","Tue Nov 17 20:48:25 MSK 2020","Tue Nov 17 20:49:04 MSK 2020","38702","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","Открытие накопительного счета в рублях c 0 рублей","Открытие накопительного счета в рублях c 0 рублей",""
"passed","Tue Nov 17 19:57:05 MSK 2020","Tue Nov 17 19:57:29 MSK 2020","23930","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Должна отображаться ошибка при вводе номера карты","Должна отображаться ошибка при вводе номера карты",""
"passed","Tue Nov 17 20:58:42 MSK 2020","Tue Nov 17 20:59:35 MSK 2020","52720","","Проведение переводов через продукт","","Проведение переводов через продукт","При переходе по кнопке ""Назад"" в форме перевода не должен сбрасывать выбранный продукт","При переходе по кнопке ""Назад"" в форме перевода не должен сбрасывать выбранный продукт",""
"passed","Tue Nov 17 20:48:00 MSK 2020","Tue Nov 17 20:48:08 MSK 2020","7349","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по продукту - верный продукт, не верный телефон","Ошибка при входе по продукту - верный продукт, не верный телефон",""
"passed","Tue Nov 17 20:12:02 MSK 2020","Tue Nov 17 20:13:33 MSK 2020","91051","","Переводы по номеру счета клиенту банка - интеграционные тесты","","Переводы по номеру счета клиенту банка - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)",""
"passed","Tue Nov 17 21:06:11 MSK 2020","Tue Nov 17 21:07:51 MSK 2020","100332","","PaymentForm - ЖКУ - integration tests","","PaymentForm - ЖКУ - integration tests","Выгрузка квитанции со страницы успешного оплаты ЖКУ (с карты)","Выгрузка квитанции со страницы успешного оплаты ЖКУ (с карты)",""
"passed","Tue Nov 17 20:15:33 MSK 2020","Tue Nov 17 20:17:07 MSK 2020","94306","","Переводы по номеру счета клиенту банка - интеграционные тесты","","Переводы по номеру счета клиенту банка - интеграционные тесты","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)",""
"passed","Tue Nov 17 20:43:55 MSK 2020","Tue Nov 17 20:44:17 MSK 2020","22320","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов с выплатой процентов на счет","Пользователю отображается список вкладов с выплатой процентов на счет",""
"passed","Tue Nov 17 21:14:51 MSK 2020","Tue Nov 17 21:15:09 MSK 2020","18390","","Витрина карт Обработка ошибки проверки дубликатов","","Витрина карт Обработка ошибки проверки дубликатов","Проверка активности кнопки Оформить карту при ошибке проверки дубликатов","Проверка активности кнопки Оформить карту при ошибке проверки дубликатов",""
